100,-7.82,9.17,-9.08,-9.03,-8.93,6.5,7.77,-9.08,-9.42
100,3.16,5,-1.31,2.33,-7.33,6.8,-4.13,6.26,5.15
60,99,1.26,99,99,-0.1,99,2.18,1.17,-3.69
40,99,99,99,99,1.36,6.5,-1.02,0.87,99
100,-8.59,-7.86,-7.86,-5.05,-5.39,7.86,-9.08,-8.54,-6.84
45,8.11,5.92,99,99,-8.59,99,5.78,3.5,99
53,-2.28,5.1,99,99,-2.77,99,2.33,3.16,99
100,6.21,7.82,-5.92,1.84,-0.49,2.62,7.18,-4.66,-3.2
62,6.94,-0.05,99,99,2.33,2.91,2.67,-1.41,99
100,-7.43,-8.74,-7.82,-7.62,-8.74,-8.59,-7.86,0,-8.2
63,99,-6.02,99,99,2.62,7.82,6.7,-0.78,-7.04
71,4.56,6.17,1.12,2.96,0.63,2.09,1.65,8.06,8.45
100,1.26,1.12,-1.89,-3.98,-4.17,1.99,1.84,1.17,2.43
41,0.29,3.11,99,99,8.11,99,-9.17,-3.93,99
100,1.26,-3.74,-3.35,-6.26,-1.26,-4.13,-4.71,-4.32,-4.03
73,-0.29,-9.42,-0.29,-0.29,-6.7,5.73,-6.89,-8.25,-0.29
61,99,99,99,99,-3.06,8.98,9.13,-9.17,99
72,-1.6,-1.75,-1.75,-1.6,2.09,-1.8,0,-8.64,-1.7
71,3.4,8.11,8.11,3.4,5.44,3.01,0.73,0.92,3.4
47,-7.04,-6.21,99,99,-6.94,99,-6.12,-6.5,99
65,99,-2.18,2.67,1.8,0.92,-0.44,2.67,3.11,99
100,3.5,6.21,-0.63,2.86,0.58,-0.05,-2.82,-0.29,-6.02
68,-6.21,-0.1,-5.29,99,-6.26,-4.42,-7.04,-6.12,99
100,5.44,-2.67,-7.96,-6.8,-6.84,-3.25,-6.8,2.09,-0.49
67,9.27,9.17,9.27,8.83,-9.32,9.13,7.91,-4.9,99
100,2.38,-5.44,-8.11,-6.99,3.2,1.55,-9.61,5.53,-0.05
48,99,99,99,99,0.05,99,1.75,-6.07,99
100,-8.5,-6.6,-8.45,-7.82,-8.74,5.78,-8.45,-7.23,-7.28
55,99,99,99,99,6.07,6.41,6.75,5.39,99
100,2.28,1.7,-5.53,-0.87,8.3,7.86,-7.04,1.46,6.7
53,99,99,99,99,-1.41,-1.31,1.07,-2.48,99
38,99,99,99,99,2.33,99,5.87,-4.42,99
53,3.45,6.07,-9.27,99,-9.81,99,3.3,0.39,99
100,3.06,6.5,-7.91,-6.7,6.8,-8.2,7.96,1.41,-8.01
72,-7.67,-6.99,-1.41,-7.77,-8.69,-6.5,5.19,-5.87,5.05
41,99,99,99,99,6.02,99,-2.09,6.84,99
72,-1.5,3.3,3.35,-1.94,1.55,4.9,-8.54,-9.22,0
100,2.82,5.44,7.57,2.86,7.09,6.99,6.99,6.07,2.43
74,6.89,-9.66,0.15,-0.1,3.4,5.44,-8.16,-1.02,-1.94
72,-6.07,-5.58,-6.17,-5.63,3.11,2.96,-4.17,8.5,-8.01
100,-0.92,1.65,1.02,-2.38,-6.41,1.5,-4.27,4.08,-8.06
68,-3.16,-1.12,1.31,99,-2.04,6.5,2.23,-1.6,-0.19
72,99,-5.83,-5.83,-5.83,8.74,5.29,-3.25,3.3,-3.4
48,99,99,99,99,-8.16,99,-0.68,1.5,99
69,-1.26,6.02,2.33,4.76,0.34,5.87,-3.88,-1.26,6.5
100,8.16,2.28,4.37,7.91,1.12,9.03,2.23,5.24,7.28
73,0.44,-8.45,-0.53,-3.88,-8.06,-5.1,-8.35,3.06,3.79
100,3.54,-5,1.6,-3.25,-4.56,-2.23,-4.56,2.91,5.58
37,99,99,99,99,8.45,99,6.6,-1.12,99
100,3.3,1.31,4.37,-1.5,7.57,0.92,2.18,-3.2,3.98
37,99,99,99,99,1.6,99,-2.86,-4.27,99
